,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
94,167012710.772871,82779724.6065007,32864425.3276566,204281448.527034,37007920.3307789,60734973.1590309,37067556.0956816,36748142.8989585,30171065.5853878,28066076.1317138,33396248.1157569,92239449.556093,23702476.9378642,483081160.442631,75560743.7452554,24518397.0547271,28670032.0697397
95,44619522.8822749,47827534.5271542,29067702.2951177,41420819.8205464,12494017.6237914,14162459.4679846,18556622.294154,18496556.1949495,32801022.9728897,28973714.6303498,83959469.985374,41470740.0910663,67400052.4537716,42419618.4375017,15209344.7346244,50455843.2815889,100367058.300988
96,15131988.6023859,423230807.712302,444677160.223793,16363825.2961448,9753975.3497772,4426306.36108049,11580974.8362811,7874094.75219086,49586708.8401598,119200047.815785,8507048.26365269,9259439.22046086,130579291.134099,25448989.4056761,474047568.674451,12484142.331696,142383785.270182
97,157471289.044662,8011230.62326779,14651554.6873466,33803733.015817,106284458.704608,32124096.2817975,113002242.560723,43240119.7221497,110855411.776269,2022717101.59129,152981627.52225,144874532.545226,136519425.912985,26378071.5483302,150492287.205188,60792244.4688261,326368698.197062
98,656664901.606474,160102046.194862,36593891.9208597,782076354.202218,541537014.436678,624275332.573994,757068737.502707,788299801.49788,686273254.909214,574037706.82018,7935977.7789582,805636730.817635,967943529.375809,731467571.74961,9852878.02995324,337678952.489069,721830005.45837
99,41480212.310735,10350229.8344444,81967131.0061069,21313701.0726575,8468672.87276216,51885831.4321583,39324114.7233215,22598477.1556282,40920289.046599,77709725.5676198,28584120.0439889,81312438.3972646,77887793.1242126,38131962.2256082,30774780.221911,72655491.8154567,79033451.7844738
100,201029616.000099,16219027.2184849,146192727.403743,234265689.885532,231098613.012477,246776921.237612,118077656.33125,6944605.41134219,238497382.502771,244335193.239795,210917030.191134,227173462.306496,266710086.945581,220145559.95445,427098425.041591,248674034.469866,240071081.53227
101,7145795992.27537,396444155.663303,24466855.6486409,490456455.686363,465957535.452856,485380265.541766,437190791.261961,493108718.60023,252478133.372091,84579398.6613853,37604331.363673,57246188.9669954,81869627.1009638,27430868.5731164,446883396.636209,51283634.9293371,114263005.578498
102,14052705.430014,20296989.875651,19242462.9516995,20089974.6769404,30239440.3575238,8390485.38490499,21850890.2009526,21153749.0292188,15553950.8280919,17014599.5435006,37100765.6393484,14783851.3223268,140884277.689601,59633534.9094243,56230747.6418342,19071486.7028019,270954084.39381
103,136613644.074233,84741477.6515263,26214525.9514071,17391392.5746548,119281052.243151,134587394.440056,74144880.3222869,90419900.7020828,109923224.973502,81844377.2451126,1218726931.07883,190053864.718342,2587147526.9537,969481389.159397,479868291.60709,37512830.731547,1608760764.2951
